calling connect
dist: 0.310030
dist: 0.243245
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.294753
dist: 0.310030
dist: 0.289382
dist: 0.251783
dist: 0.314988
dist: 0.305072
dist: 0.319946
dist: 0.324904
dist: 0.284010
dist: 0.300114
dist: 0.294753
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.300114
dist: 0.300114
dist: 0.300114
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.329863
dist: 0.324904
dist: 0.241404
dist: 0.310030
dist: 0.243245
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.329863
dist: 0.305072
dist: 0.289382
dist: 0.305072
dist: 0.300114
dist: 0.310030
dist: 0.294753
dist: 0.305072
dist: 0.243245
dist: 0.294753
dist: 0.241404
dist: 0.305072
dist: 0.300114
dist: 0.310030
dist: 0.294753
dist: 0.310030
dist: 0.319946
dist: 0.305072
dist: 0.310030
dist: 0.294753
dist: 0.300114
dist: 0.334821
dist: 0.289382
dist: 0.235879
dist: 0.339779
dist: 0.241404
dist: 0.300114
dist: 0.310030
dist: 0.314988
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.319946
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.241404
dist: 0.305072
dist: 0.305072
dist: 0.314988
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.314988
dist: 0.310030
dist: 0.329863
dist: 0.305072
dist: 0.300114
dist: 0.314988
dist: 0.294753
dist: 0.300114
dist: 0.314988
dist: 0.305072
dist: 0.305072
dist: 0.243245
dist: 0.294753
dist: 0.314988
dist: 0.319946
dist: 0.243245
dist: 0.305072
dist: 0.310030
dist: 0.324904
dist: 0.305072
dist: 0.305072
dist: 0.329863
dist: 0.305072
dist: 0.339779
dist: 0.314988
dist: 0.314988
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.314988
dist: 0.314988
dist: 0.305072
dist: 0.319946
dist: 0.300114
dist: 0.300114
dist: 0.305072
dist: 0.310030
dist: 0.319946
dist: 0.319946
dist: 0.305072
dist: 0.294753
dist: 0.314988
dist: 0.300114
dist: 0.305072
dist: 0.319946
dist: 0.305072
dist: 0.245087
dist: 0.294753
dist: 0.319946
dist: 0.314988
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.319946
dist: 0.300114
dist: 0.300114
dist: 0.319946
dist: 0.300114
dist: 0.300114
dist: 0.324904
dist: 0.310030
dist: 0.305072
dist: 0.314988
dist: 0.319946
dist: 0.305072
dist: 0.237721
dist: 0.294753
dist: 0.319946
dist: 0.305072
dist: 0.305072
dist: 0.358640
dist: 0.305072
dist: 0.294753
dist: 0.241404
dist: 0.241404
dist: 0.289382
dist: 0.305072
dist: 0.310030
dist: 0.241404
dist: 0.310030
dist: 0.300114
dist: 0.310030
dist: 0.334821
dist: 0.310030
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.334821
dist: 0.305072
dist: 0.239562
dist: 0.314988
dist: 0.314988
dist: 0.329863
dist: 0.241404
dist: 0.310030
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.289382
dist: 0.324904
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.319946
dist: 0.305072
dist: 0.305072
dist: 0.329863
dist: 0.314988
dist: 0.310030
dist: 0.300114
dist: 0.305072
dist: 0.310030
dist: 0.237721
dist: 0.319946
dist: 0.300114
dist: 0.310030
dist: 0.289382
dist: 0.300114
dist: 0.300114
dist: 0.310030
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.329863
dist: 0.289382
dist: 0.243245
dist: 0.310030
dist: 0.300114
dist: 0.305072
dist: 0.300114
dist: 0.300114
dist: 0.310030
dist: 0.300114
dist: 0.294753
dist: 0.243245
dist: 0.305072
dist: 0.310030
dist: 0.310030
dist: 0.243245
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.314988
dist: 0.305072
dist: 0.289382
dist: 0.310030
dist: 0.305072
dist: 0.310030
dist: 0.310030
dist: 0.294753
dist: 0.305072
dist: 0.300114
dist: 0.319946
dist: 0.349695
dist: 0.289382
dist: 0.314988
dist: 0.294753
dist: 0.289382
dist: 0.314988
dist: 0.300114
dist: 0.314988
dist: 0.310030
dist: 0.305072
dist: 0.314988
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.310030
dist: 0.305072
dist: 0.294753
dist: 0.349695
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.314988
dist: 0.349695
dist: 0.284010
dist: 0.289382
dist: 0.314988
dist: 0.305072
dist: 0.300114
dist: 0.319946
dist: 0.310030
dist: 0.305072
dist: 0.300114
dist: 0.314988
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.294753
dist: 0.305072
dist: 0.310030
dist: 0.339779
dist: 0.305072
dist: 0.310030
dist: 0.300114
dist: 0.310030
dist: 0.305072
dist: 0.319946
dist: 0.314988
dist: 0.314988
dist: 0.300114
dist: 0.289382
dist: 0.294753
dist: 0.314988
dist: 0.305072
dist: 0.334821
dist: 0.314988
dist: 0.294753
dist: 0.319946
dist: 0.305072
dist: 0.310030
dist: 0.319946
dist: 0.310030
dist: 0.305072
dist: 0.294753
dist: 0.314988
dist: 0.314988
dist: 0.310030
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.319946
dist: 0.289382
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.314988
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.314988
dist: 0.305072
dist: 0.314988
dist: 0.324904
dist: 0.305072
dist: 0.305072
dist: 0.324904
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.289382
dist: 0.319946
dist: 0.305072
dist: 0.305072
dist: 0.319946
dist: 0.294753
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.243245
dist: 0.294753
dist: 0.334821
dist: 0.300114
dist: 0.310030
dist: 0.310030
dist: 0.367848
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.319946
dist: 0.310030
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.294753
dist: 0.294753
dist: 0.305072
dist: 0.334821
dist: 0.310030
dist: 0.300114
dist: 0.305072
dist: 0.243245
dist: 0.324904
dist: 0.300114
dist: 0.235879
dist: 0.305072
dist: 0.314988
dist: 0.257155
dist: 0.289382
dist: 0.314988
dist: 0.305072
dist: 0.319946
dist: 0.310030
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.310030
dist: 0.319946
dist: 0.305072
dist: 0.329863
dist: 0.300114
dist: 0.334821
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.329863
dist: 0.310030
dist: 0.305072
dist: 0.239562
dist: 0.324904
dist: 0.300114
dist: 0.241404
dist: 0.305072
dist: 0.289382
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.310030
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.314988
dist: 0.319946
dist: 0.300114
dist: 0.319946
dist: 0.300114
dist: 0.305072
dist: 0.245087
dist: 0.241404
dist: 0.319946
dist: 0.294753
dist: 0.239562
dist: 0.305072
dist: 0.324904
dist: 0.324904
dist: 0.235879
dist: 0.300114
dist: 0.239562
dist: 0.300114
dist: 0.305072
dist: 0.324904
dist: 0.305072
dist: 0.324904
dist: 0.305072
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.334821
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.310030
dist: 0.310030
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.289382
dist: 0.305072
dist: 0.339779
dist: 0.245087
dist: 0.310030
dist: 0.329863
dist: 0.294753
dist: 0.300114
dist: 0.300114
dist: 0.310030
dist: 0.278639
dist: 0.305072
dist: 0.305072
dist: 0.230354
dist: 0.334821
dist: 0.314988
dist: 0.300114
dist: 0.324904
dist: 0.329863
dist: 0.339779
dist: 0.300114
dist: 0.305072
dist: 0.310030
dist: 0.314988
dist: 0.310030
dist: 0.305072
dist: 0.349695
dist: 0.314988
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.294753
dist: 0.305072
dist: 0.243245
dist: 0.246928
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.386264
dist: 0.305072
dist: 0.243245
dist: 0.319946
dist: 0.314988
dist: 0.300114
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.324904
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.319946
dist: 0.300114
dist: 0.305072
dist: 0.300114
dist: 0.310030
dist: 0.305072
dist: 0.319946
dist: 0.319946
dist: 0.310030
dist: 0.305072
dist: 0.305072
dist: 0.334821
dist: 0.324904
dist: 0.284010
dist: 0.319946
dist: 0.305072
dist: 0.349695
dist: 0.241404
dist: 0.305072
dist: 0.294753
dist: 0.310030
dist: 0.305072
dist: 0.319946
dist: 0.305072
dist: 0.245087
dist: 0.294753
dist: 0.294753
dist: 0.314988
dist: 0.319946
dist: 0.310030
dist: 0.305072
dist: 0.243245
dist: 0.305072
dist: 0.310030
dist: 0.314988
dist: 0.294753
dist: 0.300114
dist: 0.319946
dist: 0.241404
dist: 0.310030
dist: 0.305072
dist: 0.314988
dist: 0.305072
dist: 0.310030
dist: 0.314988
dist: 0.310030
dist: 0.305072
dist: 0.329863
dist: 0.314988
dist: 0.310030
dist: 0.319946
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.324904
dist: 0.294753
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.314988
dist: 0.284010
dist: 0.305072
dist: 0.314988
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.334821
dist: 0.294753
dist: 0.294753
dist: 0.314988
dist: 0.305072
dist: 0.300114
dist: 0.294753
dist: 0.294753
dist: 0.305072
dist: 0.300114
dist: 0.294753
dist: 0.294753
dist: 0.319946
dist: 0.314988
dist: 0.310030
dist: 0.319946
dist: 0.267897
dist: 0.305072
dist: 0.294753
dist: 0.300114
dist: 0.245087
dist: 0.314988
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.314988
dist: 0.294753
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.319946
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.310030
dist: 0.305072
dist: 0.305072
dist: 0.319946
dist: 0.324904
dist: 0.305072
dist: 0.344737
dist: 0.305072
dist: 0.305072
dist: 0.241404
dist: 0.300114
dist: 0.305072
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.289382
dist: 0.305072
dist: 0.319946
dist: 0.300114
dist: 0.300114
dist: 0.305072
dist: 0.314988
dist: 0.294753
dist: 0.310030
dist: 0.305072
dist: 0.305072
dist: 0.339779
dist: 0.329863
dist: 0.319946
dist: 0.310030
dist: 0.305072
dist: 0.329863
dist: 0.314988
dist: 0.314988
dist: 0.310030
dist: 0.294753
dist: 0.300114
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.294753
dist: 0.305072
dist: 0.239562
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.310030
dist: 0.319946
dist: 0.305072
dist: 0.243245
dist: 0.305072
dist: 0.314988
dist: 0.310030
dist: 0.239562
dist: 0.305072
dist: 0.300114
dist: 0.314988
dist: 0.305072
dist: 0.241404
dist: 0.246928
dist: 0.339779
dist: 0.245087
dist: 0.294753
dist: 0.305072
dist: 0.314988
dist: 0.314988
dist: 0.314988
dist: 0.294753
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.319946
dist: 0.267897
dist: 0.324904
dist: 0.294753
dist: 0.294753
dist: 0.305072
dist: 0.319946
dist: 0.329863
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.314988
dist: 0.339779
dist: 0.305072
dist: 0.319946
dist: 0.310030
dist: 0.344737
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.294753
dist: 0.334821
dist: 0.314988
dist: 0.319946
dist: 0.310030
dist: 0.305072
dist: 0.319946
dist: 0.324904
dist: 0.305072
dist: 0.329863
dist: 0.289382
dist: 0.314988
dist: 0.319946
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.319946
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.324904
dist: 0.300114
dist: 0.294753
dist: 0.294753
dist: 0.294753
dist: 0.310030
dist: 0.305072
dist: 0.294753
dist: 0.305072
dist: 0.319946
dist: 0.310030
dist: 0.305072
dist: 0.314988
dist: 0.314988
dist: 0.319946
dist: 0.319946
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.314988
dist: 0.314988
dist: 0.239562
dist: 0.305072
dist: 0.314988
dist: 0.329863
dist: 0.319946
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.314988
dist: 0.319946
dist: 0.314988
dist: 0.314988
dist: 0.246928
dist: 0.294753
dist: 0.300114
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.305072
dist: 0.329863
dist: 0.305072
dist: 0.305072
dist: 0.294753
dist: 0.305072
dist: 0.305072
dist: 0.245087
dist: 0.305072
dist: 0.305072
dist: 0.300114
dist: 0.305072
dist: 0.305072
dist: 0.310030
dist: 0.300114
dist: 0.324904
dist: 0.305072
dist: 0.314988
dist: 0.310030
dist: 0.294753
